"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","substrate","antibiotics","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"21_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",2,"gc180508",21,20022401,NA,"algal","antibiotics",3.435,5.012,670738,74876.3,7080.8518249214,8245.52444630545,292.213019326922,340.276799171067
"22_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",3,"gc180508",22,20022401,NA,"algal","antibiotics",3.438,5.009,430203,117411,4552.64045366937,13120.5291414555,187.878640278055,541.458786370542
"23_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",4,"gc180508",23,20022401,NA,"algal","antibiotics",3.434,5.012,701495,78388.8,7404.13200096896,8648.10055455858,305.554165091181,356.890334238627
"24_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"air","2/24/20 0:00","run20022401","2/24/20",3,"gc180508",24,20022401,NA,NA,NA,NA,5.025,0,4666.43213,0,198.601921587631,0,8.19591605447761
"25_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard034","2/24/20 0:00","run20022401","2/24/20",2,"gc180508",25,20022401,NA,NA,NA,3.452,5.02,1404.31567,3784.84985,45.6302069234989,97.56164731366,0,0
"26_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard035","2/24/20 0:00","run20022401","2/24/20",2,"gc180508",26,20022401,NA,NA,NA,3.437,5.02,1763.60559,10107.9,49.4066255790802,822.261696189502,0,0
"27_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard036","2/24/20 0:00","run20022401","2/24/20",2,"gc180508",27,20022401,NA,NA,NA,3.437,5.016,51063.3,49789.7,567.585052862479,5370.28863212664,0,0
"28_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard037","2/24/20 0:00","run20022401","2/24/20",2,"gc180508",28,20022401,NA,NA,NA,3.436,5.012,279807,77406.7,2971.86061958775,8535.53970162893,0,0
"29_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard038","2/24/20 0:00","run20022401","2/24/20",2,"gc180508",29,20022401,NA,NA,NA,3.416,5.002,4319410,135183,45431.254221117,15157.4209836974,0,0
"30_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"air","2/24/20 0:00","run20022401","2/24/20",4,"gc180508",30,20022401,NA,NA,NA,NA,5.022,0,4765.67236,0,209.976084029068,0,8.66530567475312
